BANFN,BNFPO,TIPO_SOLPED,FRGKZ,FRGDT,LFDAT,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,TXZ01,VALDOL,PTEXT,BLCKD,BLCKT,KOSTL,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,EBELN,EBELP,IDEBELN,STATUSOC,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,VPEDIDOD,PROCSTAT_T,LZVON,ZZEMBAR,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,ELIKZ,HES_S,LOEKZ_S
0015253382,00090,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T36-MANTENIMIENTO EQUIPO SCBA,50.5,Servicio,,,3023130002,00000000,000000900300,TCNO,TASA CALLAO NORTE,5010001192,00090,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,50.5,Liberación concluida,20190911,,,,2,10,5,25,,100,
0015253382,00100,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,R/M MQ 14-MANTENIMIENTO PAQUETE DE EMERG,484.2,Servicio,,,3023310005,00000000,,TCNO,TASA CALLAO NORTE,5010001192,00100,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,484.2,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00110,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T21-MANTENIMIENTO ARO SALVAVIDA,44,Servicio,,,3023130006,00000000,000000900296,TCNO,TASA CALLAO NORTE,5010001192,00110,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,44,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00120,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T21-MANTENIMIENTO AROS SALVAVIDAS,22,Servicio,,,3023130006,00000000,000000900296,TCNO,TASA CALLAO NORTE,5010001192,00120,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,22,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00130,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T315-MANTENIMIENTO EQUIPO RESUCITADOR,42.5,Servicio,,,3023110007,00000000,000000900259,TCNO,TASA CALLAO NORTE,5010001192,00130,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,42.5,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00140,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,SAN GALLAN-MANTENIMIENTO EXTINTOR,96.3,Servicio,,,3023320003,00000000,,TCNO,TASA CALLAO NORTE,5010001192,00140,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,96.3,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00150,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,R/M H1-MANTENIMIENTO EXTINTOR,115.1,Servicio,,,3023310006,00000000,,TCNO,TASA CALLAO NORTE,5010001192,00150,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,115.1,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00160,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T218-MANTENIMENTO EXTINTOR,28.3,Servicio,,,3023110003,00000000,000000900292,TCNO,TASA CALLAO NORTE,5010001192,00160,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,28.3,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00170,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T35-MANTENIMIENTO EXTINTOR,217,Servicio,,,3023130004,00000000,000000900269,TCNO,TASA CALLAO NORTE,5010001192,00170,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,217,Liberación concluida,20190909,,,,2,10,5,25,,100,
0015253382,00180,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T111-MANTENIMIENTO PAQUETE EMERGENCIA,294.8,Servicio,,,3023110008,00000000,000000900291,TCNO,TASA CALLAO NORTE,5010001192,00180,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,294.8,Liberación concluida,20190904,,,,2,10,5,25,,100,
0015253382,00190,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T21-MANTENIMIENTO AROS SALVAVIDAS,44,Servicio,,,3023130006,00000000,000000900296,TCNO,TASA CALLAO NORTE,5010001192,00190,,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,44,Liberación concluida,20190904,,,,2,10,5,25,,100,
0015253382,00200,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T36-MANTENIMIENTO EQUIPO RESUCITADOR,47.5,Servicio,,,3023130002,00000000,000000900300,TCNO,TASA CALLAO NORTE,5010001192,00200,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,47.5,Liberación concluida,20190904,,,,2,10,5,25,,100,
0015253382,00210,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T220-MANTENIMIENTO EQUIPO RESUCITADOR,46,Servicio,,,3023110002,00000000,000000900323,TCNO,TASA CALLAO NORTE,5010001192,00210,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,46,Liberación concluida,20190904,,,,1,10,5,25,,100,
0015253382,00220,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T220-MANTENIMIENTO EQUIPO SCBA,305.5,Servicio,,,3023110002,00000000,000000900323,TCNO,TASA CALLAO NORTE,5010001192,00220,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,305.5,Liberación concluida,20190904,,,,1,10,5,25,,100,
0015253382,00230,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T36-MANTENIMIENTO EXTINTORES,72.6,Servicio,,,3023130002,00000000,000000900300,TCNO,TASA CALLAO NORTE,5010001192,00230,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,72.6,Liberación concluida,20190904,,,,1,10,5,25,,100,
0015253382,00240,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T220-MANTENIMIENTO EXTINTORES,71.8,Servicio,,,3023110002,00000000,000000900323,TCNO,TASA CALLAO NORTE,5010001192,00240,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,71.8,Liberación concluida,20190904,,,,1,10,5,25,,100,
