WORKORDERID,CHANGEDATE,SITEID,WONUM,DESCRIPTION,LOCATION,LOCDESC,SLXPESO,ASSETNUM,ASSETDESC,PARENT,STATUS,SLXCENTROOPER,WORKTYPE,SLXSUBTIPO,SLXTEMPORADA,SLXLOCCLASIF,SLXFAILGROUP,SLXFAILPROB,SLXFAILCAUSE,SLXFAILITEM,ISTASK,SLXESREG,SLXBLACKOUT,SLXODMNUM,SLXPDNUM,JPNUM,PMNUM,ASSETLOCPRIORITY,WOPRIORITY,SLXREPERCUSION,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,ESTDUR,SLXACTDUR,SLXALMACEN,SLXELEMENTOPEP,SLXCONTROLPEP,SLXTIPOIMPUTACION,SLXCUENTACONTABLE,SLXCENTROCOSTO,SLXOBRAENCURSO,REPORTEDBY,REPORTDATE,SUPERVISOR,LEAD,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
686870,2025-12-20T22:33:15.533Z,PESCA,752077,T058.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01058-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T058,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T058-EPPR07MCCO,F4A25/04-T058-EPPR,CEC,,3023140007,,CTAIPE,2025-11-30T23:36:58.650Z,JPAZ,,,,,,,,,,
686868,2025-12-20T22:33:11.186Z,PESCA,752075,T057.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01057-03,MOTOR PRINCIPAL Y CAJA,0,400036068,"SIST.CONTROL COMBUSTIBLE Flujometros MP y MA, PLC",,APPR,T057,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,3,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T057-EPPR07MCCO,F4A25/04-T057-EPPR,CEC,,3023140008,,CTAIPE,2025-11-30T23:36:57.386Z,JPAZ,,,,,,,,,,
686860,2025-12-20T22:33:06.796Z,PESCA,752067,T053.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF0153-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T053,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T053-EPPR07MCCO,F4A25/04-T053-EPPR,CEC,,3023140009,,CTAIPE,2025-11-30T23:36:52.776Z,JPAZ,,,,,,,,,,
686768,2025-12-20T22:33:02.773Z,PESCA,751975,T059.Serv.Lab.Aceites.SGS.Dic.2025,TF01059-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T059,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T059-EPPR07MCCO,F4A25/04-T059-EPPR,CEC,,3023140006,,CTAIPE,2025-11-30T22:20:29.876Z,JPAZ,,,,,,,,,,
686764,2025-12-20T22:32:58.286Z,PESCA,751971,T058.Serv.Lab.Aceites.SGS.Dic.2025,TF01058-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T058,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T058-EPPR07MCCO,F4A25/04-T058-EPPR,CEC,,3023140007,,CTAIPE,2025-11-30T22:20:28.366Z,JPAZ,,,,,,,,,,
686760,2025-12-20T22:32:53.800Z,PESCA,751967,T057.Serv.Lab.Aceites.SGS.Dic.2025,TF01057-03,MOTOR PRINCIPAL Y CAJA,0,400036068,"SIST.CONTROL COMBUSTIBLE Flujometros MP y MA, PLC",,APPR,T057,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,3,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T057-EPPR07MCCO,F4A25/04-T057-EPPR,CEC,,3023140008,,CTAIPE,2025-11-30T22:20:26.900Z,JPAZ,,,,,,,,,,
686748,2025-12-20T22:32:49.380Z,PESCA,751955,T053.Serv.Lab.Aceites.SGS.Dic.2025,TF0153-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T053,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T053-EPPR07MCCO,F4A25/04-T053-EPPR,CEC,,3023140009,,CTAIPE,2025-11-30T22:20:21.106Z,JPAZ,,,,,,,,,,
684871,2025-12-20T22:32:45.136Z,PESCA,750078,T053.Serv.instal.sensores.aceite.combustible.tablero.prog.,TF0153-0301,Motor Principal,0,300001536,MOTOR DIESEL 1410 HP @ 1200 RPM,,APPR,T053,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-26T14:19:17.000Z,,,,,,0,0,,F4A25/04-T053-EPPR07MCCO,F4A25/04-T053-EPPR,CEC,,3023140009,,CTAIPE,2025-11-24T14:19:17.496Z,JPAZ,,,,,,,,,,
686822,2025-12-20T22:31:52.396Z,PESCA,752029,T038.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01038-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T038,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F3A25/04-T038-EPPR07MCCO,F3A25/04-T038-EPPR,CEC,,3023130008,,CTAIPE,2025-11-30T23:36:30.016Z,JOHSALAZAR,,,,,,,,,,
686820,2025-12-20T22:31:48.356Z,PESCA,752027,T037.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01037-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T037,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F3A25/04-T037-EPPR07MCCO,F3A25/04-T037-EPPR,CEC,,3023130001,,CTAIPE,2025-11-30T23:36:28.680Z,JOHSALAZAR,,,,,,,,,,
686802,2025-12-20T22:31:41.540Z,PESCA,752009,T218.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01218-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T218,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F1A25/04-T218-EPPR07MCCO,F1A25/04-T218-EPPR,CEC,,3023110003,,CTAIPE,2025-11-30T23:36:17.896Z,JOHSALAZAR,,,,,,,,,,
686800,2025-12-20T22:31:37.906Z,PESCA,752007,T210.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01210-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T210,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F3A25/04-T210-EPPR07MCCO,F3A25/04-T210-EPPR,CEC,,3023130003,,CTAIPE,2025-11-30T23:36:16.676Z,JOHSALAZAR,,,,,,,,,,
